threshold;precision_obito;recall_obito;f1_obito;accuracy
0.25;0.36504896447109086;0.9556894315971471;0.5283005906379039;0.6003641369397821
0.3;0.3923036016217297;0.9326939701750594;0.5523016969976196;0.6459116202449005
0.35;0.4210518380024728;0.9052842014264102;0.5747737610889656;0.6863310736093081
0.4;0.45330849872544443;0.8705100497082343;0.5961687184781442;0.7238354070666353
0.45;0.48680825208153344;0.8311432893883726;0.6139943680860872;0.7552804917240454
0.5;0.523870178468624;0.7866544197103955;0.6289157667386609;0.7826160670680018
0.55;0.5637153684769178;0.7345904473741085;0.637908141002482;0.804714801571938
0.6;0.6060415264827453;0.6812891722498379;0.6414661443760492;0.8216589360318436
0.65;0.6458850100162591;0.6288794035011886;0.6372687777008216;0.8323540352395484
0.7;0.6841655830923593;0.5714231683596283;0.6227326658050233;0.8378679642999031
0.75;0.7248294173947946;0.5073805921763561;0.5969183437368896;0.8395368198369861
