threshold;precision_obito;recall_obito;f1_obito;accuracy
0.25;0.36362236254427843;0.9567484331100065;0.5269657989301471;0.5977729192445993
0.3;0.3911760112093768;0.9337097471363734;0.5513605263115914;0.6441744415849953
0.35;0.42023970311493775;0.9061378863194295;0.5741881035406577;0.6852821871496858
0.4;0.45196898460711316;0.8720769397017506;0.5953747097435784;0.7224246611046584
0.45;0.4854364652018112;0.832947914415388;0.6133921146554091;0.7541253248511441
0.5;0.5230167557676438;0.7876053598443916;0.6286034627741004;0.7820618906273328
0.55;0.5630961889430101;0.7351739788199697;0.6377311532882295;0.8044098780052684
0.6;0.6053242963019854;0.681359412146099;0.6410952497153083;0.821352747222159
0.65;0.6459000560609677;0.6287335206397233;0.6372011904468556;0.8323439132954267
0.7;0.6839998965566287;0.5716284849794684;0.6227858980321056;0.8378464551686442
0.75;0.7252160847609901;0.5059271666306462;0.596041961068887;0.8394128260214939
