threshold;precision_obito;recall_obito;f1_obito;accuracy
0.25;0.34604430635791383;0.9637650134078464;0.5092426668889273;0.48774243262221834
0.3;0.3704822777454968;0.9339072041823467;0.530510362130541;0.5441614208213968
0.35;0.3954760891721006;0.9006467314149221;0.5496149614961496;0.5929431211588295
0.4;0.42682307822457843;0.8526939630889875;0.5688856816405076;0.6436015187576513
0.45;0.4570848999315219;0.797192239223021;0.5810271486524217;0.6829500189533995
0.5;0.5043062200956938;0.7125312661964531;0.5906030239920804;0.727586828319486
0.55;0.5317217219053209;0.6532663316582915;0.5862605917207628;0.7457261637698
0.6;0.5610746037881716;0.5887509295355702;0.5745796817786966;0.759577680973894
0.65;0.578102294113443;0.5468373256416612;0.562035342890891;0.7649778462723945
0.7;0.6026374647805501;0.4675169569822205;0.526546875793107;0.7681471032369921
0.75;0.6491421980873661;0.3043919147306037;0.41444481943975703;0.7628028660025727
